1,ARGO DRIVE 1.0,19/20,PRATA,COMPLETO,QUP-7C32,"R$ 64.900,00"
2,ARGO DIRVE 1.0,19/20,PRETO,COMPLETO,QUF-9E68,"R$ 64.900,00"
3,ARGO DRIVE 1.0,19/20,BRANCO,COMPLETO,QWV-7G39,"R$ 64.900,00"
4,ARGO DRIVE 1.0,19/20,BRANCO,COMPLETO,QQR-7B85,"R$ 64.900,00"
5,DOBLO ESSENCE 1.8,14/15,PRATA,COMPLETO,PVC-4H12,"R$ 55.900,00"
6,ETIOS SD X 1.5L MT,17/18,BRANCO,COMPLETO,QEN-6209,"R$ 58.900,00"
7,ETIOS HB X 13L MT,17/18,BRANCA,COMPLETO,PBD-7G24,"R$ 53.900,00"
8,ETIOS HB X 13L MT,17/18,BRANCA,COMPLETO,PBE-1F08,"R$ 53.900,00"
9,ETIOS SD X VSC MT 1.5,19/20,PRETA,COMPLETO,QVE-1208,"R$ 65.900,00"
10,GOL 1.0 L MC5,20/21,PRETA,COMPLETO,QVE-7A82,"R$ 58.900,00"
11,GOL 1.0,19/20,BRANCA,COMPLETO,QVA-2876,"R$ 56.900,00"
12,GOL 1.0,19/20,BRANCA,COMPLETO,QQR-1B18,"R$ 56.900,00"
13,GOL 1.0,19/20,BRANCO,COMPLETO,QUN-3I18,"R$ 56.900,00"
14,GOL 1.0,19/20,BRANCO,COMPLETO,QUN-3I06,"R$ 56.900,00"
15,GOL 1.0,19/20,BRANCO,COMPLETO,QQR-1A76,"R$ 56.900,00"
16,GOL 1.0,19/20,BRANCO,COMPLETO,QQR-1B25,"R$ 56.900,00"
17,GOL 1.0,18/19,BRANCO,COMPLETO,QEJ-4416,"R$ 54.900,00"
18,HB20 1.6M COMF,14/15,VERMELHO,COMPLETO,QDL-3H20,"R$ 52.900,00"
19,KA SE PLUS 1.0 HA C,19/20,BRANCA,COMPLETO,QVE-2096,"R$ 57.900,00"
20,KA SE PLUS 1.0 HA C,19/20,PRETO,COMPLETO,QVI-3910,"R$ 57.900,00"
21,KA SE 1.0 HA C,20/21,BRANCO,COMPLETO,QVY-7F00,"R$ 59.900,00"
22,KA SE 1.0 HA C,20/20,PRETA,COMPLETO,QXV-0C53,"R$ 56.900,00"
23,KA SE 1.0 HÁ C,19/20,PRATA,COMPLETO,QXD-9E58,"R$ 56.900,00"
24,KA SE 1.0 HÁ C,19/20,BRANCA,COMPLETO,QXA-9A37,"R$ 56.900,00"
25,KA SE 1.0 HÁ B,16/17,PRATA,COMPLETO,PYI-7412,"R$ 47.900,00"
26,KA SE 1.0 HÁ C,19/19,BRANCO,COMPLETO,QQT-2I31,"R$ 52.900,00"
27,KWID ZEN 1.0 MT,19/20,BRANCO,COMPLETO,QVD-3213,"R$ 49.900,00"
28,M.BENZ C180 EXCLUSIVE,18/18,AZUL,COMPLETO,OXN-1I43,"R$ 165.900,00"
29,MOBI LIKE 1.0,21/22,BRANCA,COMPLETO,QVZ-9B89,"R$ 58.900,00"
30,ONIX 1.0MT HB,21/21,AZUL,COMPLETO,QVV-3A51,"R$ 69.900,00"
31,ONIX PLUS 1.0 LTZ,19/20,PRETO,COMPLETO,QXG-3H48,"R$ 82.900,00"
32,ONIX 1.0 MT JOYE,18/18,BRANCO,COMPLETO,QER-6843,"R$ 53.900,00"
33,ONIX 1.0 MT LT,18/19,CINZA,COMPLETO,QPD-9F06,"R$ 58.900,00"
34,ONIX 1.0 MT JOYE,19/19,BRANCO,COMPLETO,QQP-4D74,"R$ 56.900,00"
35,ONIX 1.0 MT JOYE,19/19,BRANCO,COMPLETO,QQP-4E17,"R$ 56.900,00"
36,ONIX 1.0 MT JOYE,19/19,PRATA,COMPLETO,QQH8B34,"R$ 56.900,00"
37,ONIX 1.0 MT JOYE,18/18,PRETO,COMPLETO,QEK-2193,"R$ 53.900,00"
38,ONIX 1.0 MT JOYE,18/18,PRETO,COMPLETO,QEZ-9511,"R$ 53.900,00"
39,ONIX 1.0 MT JOYE,18/18,PRETO,COMPLETO,QEZ-9531,"R$ 53.900,00"
40,ONIX 1.0 MT JOYE,18/18,PRETA,COMPLETO,QEP-4I23,"R$ 53.900,00"
41,ONIX 1.0 MT JOYE,17/18,BRANCO,COMPLETO,QDU-0378,"R$ 53.900,00"
42,ONIX 1.0 MT JOYE,16/17,PRETA,COMPLETO,QEB-7499,"R$ 50.900,00"
43,PALIO ATTRACT 1.0,14/15,PRATA,COMPLETO,OTW-1665,"R$ 42.900,00"
44,PRISMA 1.0MT JOYE,19/19,PRATA,COMPLETO,QUK-1E36,"R$ 59.900,00"
45,PRISMA 1.0MT JOYE,19/19,BRANCA,COMPLETO,QQE-1H17,"R$ 59.000,00"
46,PRISMA 1.0MT JOYE,16/17,BRANCA,COMPLETO,QEZ1D50,"R$ 51.900,00"
47,POLO CL AD 1.0,21/21,BRANCA,COMPLETO,RFN-5D76,"R$ 88.900,00"
48,SANDERO LIFE 1.0,19/20,CINZA,COMPLETO,QXF-5B24,"R$ 53.900,00"
49,SAVEIRO 1.6 RB MBVS,18/18,PRATA,COMPLETO,PBK-6E21,"R$ 58.900,00"
50,SAVEIRO 1.6 RB MBVS,19/20,PRATA,COMPLETO,PBT-6E90,"R$ 65.900,00"
51,UP TAKE MCV 1.0,17/17,VERMELHO,COMPLETO,QEX-9E02,"R$ 49.900,00"
52,UP TAKE MA 1.0,14/15,BRANCO,COMPLETO,OYH-5I80,"R$ 43.900,00"
53,UNO WAY 1.0,14/15,PRATA,COMPLETO,QDG-7I61,"R$ 45.900,00"
54,VIRTUS MF 1.6,20/21,PRATA,COMPLETO,BEQ-7G10,"R$ 78.900,00"
55,VIRTUS CL AD 1.0,20/21,CINZA,COMPLETO,RFG-9C23,"R$ 89.900,00"
56,VIRTUS CL AD 1.0,19/20,PRATA,COMPLETO,QWZ-3E33,"R$ 82.900,00"
57,VOYAGE 1.6L MBS,20/21,PRATA,COMPLETO,QXM-9E60,"R$ 63.900,00"
58,VOYAGE 1.0 TL MCV(NOVO),18/18,BRANCA,COMPLETO,QEJ-0094,"R$ 55.900,00"
59,VOYAGE 1.6 TL MCV(NOVO),18/18,PRATA,COMPLETO,QOK7J48,"R$ 58.900,00"
60,TORO FREEDOM AT6 1.8,21/21,PRATA,COMPLETO,RMP5D39,"R$ 115.900,00"
